datetime,open,high,low,close
2015-12-17,454.77701,457.85999,448.858,456.078
2015-12-18,455.84698,465.177,454.94,463.616
2015-12-19,463.552,465.58099,456.76501,462.32199
2015-12-20,462.23401,462.64499,434.33801,442.685
2015-12-21,442.83801,444.729,427.31201,438.63901
2015-12-22,437.436,443.68799,435.51599,436.57199
2015-12-23,436.72,444.52899,436.61899,442.401
2015-12-24,443.091,458.45599,443.077,454.98499
2015-12-25,454.85501,458.30499,452.07501,455.65302
2015-12-26,455.75601,457.48901,405.76001,417.27399
2015-12-27,416.51401,424.00699,408.883,422.823
2015-12-28,423.34299,429.76901,418.48099,422.27899
2015-12-29,422.09799,432.983,420.62701,432.983
2015-12-30,433.29999,434.38699,422.08401,426.62
2015-12-31,425.875,432.92099,418.73499,430.56699
2016-01-01,430.72101,436.246,427.51501,434.33401
2016-01-02,434.62201,436.06201,431.87,433.43799
2016-01-03,433.578,433.74301,424.70599,430.01099
2016-01-04,430.061,434.517,429.08401,433.091
2016-01-05,433.069,434.18201,429.67599,431.95999
2016-01-06,431.85599,431.85599,426.341,429.10501
2016-01-07,430.01099,458.76599,429.077,458.048
2016-01-08,457.53799,462.93399,447.93799,453.23001
2016-01-09,453.383,454.64001,446.88901,447.61099
2016-01-10,448.23801,448.30899,440.35101,447.991
2016-01-11,448.698,450.66199,443.85501,448.42801
2016-01-12,448.18201,448.18201,435.69,435.69
2016-01-13,434.66501,435.186,424.44299,432.371
2016-01-14,432.28799,433.32401,427.845,430.306
2016-01-15,430.255,430.255,364.33099,364.33099
2016-01-16,365.073,390.55701,354.914,387.53601
2016-01-17,387.15201,390.965,380.09201,382.29901
2016-01-18,381.733,388.104,376.66501,387.168
2016-01-19,387.026,387.73001,378.97198,380.14899
2016-01-20,379.73999,425.267,376.599,420.23001
2016-01-21,419.63199,422.87701,406.29999,410.26199
2016-01-22,409.75101,410.41,375.28201,382.492
2016-01-23,382.43399,394.543,381.98099,387.491
2016-01-24,388.10199,405.48499,387.51001,402.97101
2016-01-25,402.31699,402.31699,388.55399,391.72601
2016-01-26,392.00201,397.76599,390.57501,392.15302
2016-01-27,392.444,396.84299,391.78201,394.97198
2016-01-28,395.146,395.50201,379.73499,380.289
2016-01-29,380.108,384.379,365.452,379.474
2016-01-30,378.86499,380.91699,376.491,378.255
2016-01-31,378.293,380.34698,367.83499,368.767
2016-02-01,369.35001,378.07199,367.957,373.056
2016-02-02,372.92001,375.883,372.92001,374.448
2016-02-03,374.646,374.95001,368.04501,369.94901
2016-02-04,370.17401,391.608,369.99301,389.59399
2016-02-05,388.89801,391.09399,385.57199,386.54901
2016-02-06,386.58899,386.63101,372.38699,376.522
2016-02-07,376.51401,380.871,374.90302,376.62
2016-02-08,376.75699,379.879,373.33401,373.44699
2016-02-09,373.423,377.246,372.89801,376.02899
2016-02-10,376.146,385.483,375.78299,381.64899
2016-02-11,382.11401,383.13,376.39899,379.65399
2016-02-12,379.686,384.95401,379.60001,384.263
2016-02-13,384.64099,391.85999,384.64099,391.85999
2016-02-14,392.93201,407.23001,392.93201,407.23001
2016-02-15,407.56799,410.38101,397.74899,400.185
2016-02-16,401.43201,408.94501,401.43201,407.48801
2016-02-17,407.65601,421.16699,406.784,416.32199
2016-02-18,416.57199,425.996,415.638,422.37299
2016-02-19,422.73001,423.104,417.604,420.785
2016-02-20,421.60101,441.98401,421.60101,437.164
2016-02-21,437.77301,448.04599,429.077,438.798
2016-02-22,438.98901,439.04501,432.91699,437.74799
2016-02-23,438.255,439.858,417.82101,420.73599
2016-02-24,420.95599,425.54999,413.90701,424.95499
2016-02-25,425.03699,427.71899,420.41501,424.54401
2016-02-26,424.629,432.15201,421.62,432.15201
2016-02-27,432.83899,434.23099,428.103,432.51901
2016-02-28,432.57101,435.68301,423.82001,433.504
2016-02-29,433.43799,441.50699,431.69299,437.69699
2016-03-01,437.91699,439.65302,432.319,435.12299
2016-03-02,435.13101,435.91699,423.98901,423.98901
2016-03-03,423.91199,425.37299,419.41101,421.651
2016-03-04,421.836,425.17801,410.939,410.939
2016-03-05,410.78101,411.25699,394.035,400.57001
2016-03-06,400.52499,411.90701,395.77802,407.707
2016-03-07,407.75699,415.91699,406.30899,414.32101
2016-03-08,414.465,416.24301,411.09399,413.97198
2016-03-09,413.89401,416.03201,411.60599,414.85999
2016-03-10,414.74399,417.51199,413.25101,417.13101
2016-03-11,417.23801,423.92599,417.013,421.69
2016-03-12,421.60501,421.79501,410.09399,411.62399
2016-03-13,411.64801,416.604,411.642,414.065
2016-03-14,414.20099,416.68399,414.20099,416.43799
2016-03-15,416.388,418.13101,414.98499,416.82999
2016-03-16,416.888,417.686,415.91199,417.01099
2016-03-17,417.88901,420.99701,417.88901,420.621
2016-03-18,420.547,420.547,406.13699,409.548
2016-03-19,409.26501,410.98401,407.23001,410.444
2016-03-20,410.401,414.625,410.401,413.755
2016-03-21,413.418,413.418,410.38101,413.30701
2016-03-22,413.13199,418.375,412.53101,418.08899
2016-03-23,418.16101,419.26801,417.36401,418.04099
2016-03-24,418.42401,418.67999,415.48599,416.39401
2016-03-25,416.508,418.07999,415.55801,417.177
2016-03-26,417.36499,418.987,416.259,417.94501
2016-03-27,418.14001,428.797,417.711,426.76501
2016-03-28,426.548,426.85699,423.293,424.23099
2016-03-29,424.30399,426.203,412.681,416.51599
2016-03-30,416.83401,416.83401,412.496,414.81601
2016-03-31,415.25699,418.36899,415.25699,416.729
2016-04-01,416.76001,418.173,415.83099,417.95999
2016-04-02,418.422,422.08099,418.422,420.87299
2016-04-03,421.173,421.57999,419.69699,420.90399
2016-04-04,421.29901,422.34299,419.60101,421.444
2016-04-05,421.017,424.25699,420.61401,424.03
2016-04-06,424.284,424.52701,422.729,423.41299
2016-04-07,423.62,423.65701,420.51801,422.745
2016-04-08,422.90701,425.36099,419.63501,420.349
2016-04-09,420.811,420.89099,416.51501,419.41101
2016-04-10,419.59201,422.435,419.25699,421.564
2016-04-11,421.87201,422.73901,420.53299,422.483
2016-04-12,422.84299,427.27701,422.84299,425.19
2016-04-13,425.63199,426.65799,422.91599,423.73401
2016-04-14,423.935,425.371,423.013,424.28201
2016-04-15,424.427,429.92801,424.427,429.71301
2016-04-16,429.57501,432.625,428.98401,430.57199
2016-04-17,430.63599,431.371,426.07901,427.39899
2016-04-18,427.61099,429.27399,427.086,428.591
2016-04-19,428.703,436.01999,428.104,435.509
2016-04-20,435.32401,443.05399,434.40601,441.38901
2016-04-21,441.41599,450.548,440.952,449.42499
2016-04-22,449.68799,449.81,444.14999,445.737
2016-04-23,445.86099,450.28201,444.33099,450.28201
2016-04-24,450.56,460.146,448.92801,458.55499
2016-04-25,459.121,466.62,453.59201,461.42599
2016-04-26,461.64801,467.965,461.621,466.08899
2016-04-27,466.26199,467.07901,444.134,444.68701
2016-04-28,445.03799,449.55099,436.64999,449.01099
2016-04-29,449.40799,455.384,446.017,455.09698
2016-04-30,455.17801,455.58701,447.69699,448.31799
2016-05-01,448.48401,452.479,447.927,451.875
2016-05-02,451.93301,452.44501,441.776,444.66901
2016-05-03,444.72699,451.09698,442.617,450.30399
2016-05-04,450.18301,450.37799,445.63,446.72198
2016-05-05,446.711,448.50601,445.883,447.97601
2016-05-06,447.94199,461.375,447.06799,459.603
2016-05-07,459.63901,460.67499,457.32401,458.53601
2016-05-08,458.42899,459.41699,455.983,458.548
2016-05-09,458.20599,462.48099,456.53101,460.483
2016-05-10,460.51801,461.92899,448.95401,450.89499
2016-05-11,450.86401,454.57599,450.86401,452.728
2016-05-12,452.44699,454.94901,449.25,454.76599
2016-05-13,454.85001,457.05499,453.453,455.67001
2016-05-14,455.823,456.836,454.78601,455.67099
2016-05-15,455.759,458.69199,455.45901,457.56799
2016-05-16,457.586,458.20001,452.94501,454.16299
2016-05-17,454.009,455.07199,453.60501,453.78299
2016-05-18,453.69101,455.99799,453.29901,454.61899
2016-05-19,454.52399,454.633,438.715,438.715
2016-05-20,437.793,444.05399,437.38901,442.67599
2016-05-21,442.966,443.77802,441.70599,443.18799
2016-05-22,443.21799,443.427,439.035,439.323
2016-05-23,439.34799,444.345,438.823,444.155
2016-05-24,444.29099,447.10001,443.92999,445.98099
2016-05-25,446.06201,450.298,446.06201,449.599
2016-05-26,449.672,453.64401,447.896,453.384
2016-05-27,453.521,478.14899,453.521,473.46399
2016-05-28,473.02899,533.47302,472.69901,530.03998
2016-05-29,527.47699,553.96002,512.17902,526.23297
2016-05-30,528.47101,544.349,522.96301,533.86401
2016-05-31,534.19098,546.61798,520.66199,531.38599
2016-06-01,531.10699,543.08002,525.63599,536.91998
2016-06-02,536.51501,540.35199,533.078,537.97198
2016-06-03,537.68201,574.638,536.91998,569.19397
2016-06-04,569.70502,590.13202,564.23798,572.72699
2016-06-05,573.30798,582.80798,569.17798,574.97699
2016-06-06,574.60199,586.46997,574.60199,585.53699
2016-06-07,585.44501,590.25897,567.51398,576.59698
2016-06-08,577.16699,582.83899,573.13,581.64502
2016-06-09,582.203,582.203,570.95099,574.63
2016-06-10,575.83698,579.12701,573.32501,577.46997
2016-06-11,578.67401,607.11603,578.67401,606.72699
2016-06-12,609.68402,684.84399,607.039,672.784
2016-06-13,671.65399,716.00403,664.487,704.37598
2016-06-14,704.50403,704.50403,662.80402,685.55902
2016-06-15,685.685,696.30298,672.56097,694.46899
2016-06-16,696.52301,773.72198,696.52301,766.30798
2016-06-17,768.487,775.35602,716.55603,748.909
2016-06-18,748.75598,777.98999,733.92902,756.22699
2016-06-19,756.68799,766.62097,745.62799,763.78101
2016-06-20,763.927,764.08398,732.72699,737.22601
2016-06-21,735.883,735.883,639.07001,666.65198
2016-06-22,665.91498,678.66998,587.48297,596.11603
2016-06-23,597.44299,629.32703,558.13898,623.97699
2016-06-24,625.57501,681.72699,625.27197,665.29901
2016-06-25,665.28101,691.73102,646.55902,665.12299
2016-06-26,665.93103,665.97998,616.93402,629.367
2016-06-27,629.349,655.27502,620.52399,655.27502
2016-06-28,658.10199,659.24799,637.77301,647.00098
2016-06-29,644.12201,644.68201,628.284,639.89001
2016-06-30,640.591,675.40302,636.60797,673.33698
2016-07-01,672.51501,686.15399,669.59399,676.29602
2016-07-02,676.73401,703.70203,676.39899,703.70203
2016-07-03,704.96802,704.96802,649.00897,658.664
